RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation
HH,BITS,1,DK,26HF,TVS,,S,,29,15,2022,2,26,714,9,30,D,56.2426,11.3116,56.2183,11.3043,41G1,21,V,30,1,1,R,1.4,,,2739,136,,,-9,,59.1,-9,,-9,,,3,-9,,-9,,-9,75,2,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,49,25,2022,2,28,1253,9,30,D,56.2483,12.1492,56.2466,12.1937,41G2,26,V,50,1,1,R,-9,,,2756,140,,,-9,,63.8,-9,,-9,,,3,-9,,-9,,-9,185,7,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,33,17,2022,2,26,1137,9,30,D,56.3917,11.6547,56.4173,11.6647,41G1,26,V,34,1,1,R,1.3,,,2904,150,,,-9,,62.3,-9,,-9,,,3,-9,,-9,,-9,140,4,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,47,24,2022,2,28,1019,9,30,D,56.4204,12.2329,56.3957,12.2361,41G2,33,V,48,1,1,R,1.3,,,2761,160,,,-9,,64.4,-9,,-9,,,3,-9,,-9,,-9,160,9,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,27,14,2022,2,25,1330,8,30,D,56.4928,11.0979,56.47,11.0813,41G1,15,V,28,1,1,R,1.3,,,2726,136,,,-9,,57.4,-9,,-9,,,2.9,-9,,-9,,-9,280,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,35,18,2022,2,26,1352,9,30,D,56.5882,11.7345,56.6126,11.7257,42G1,34,V,36,1,1,R,1.4,,,2765,160,,,-9,,60.2,-9,,-9,,,3,-9,,-9,,-9,186,3,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,25,13,2022,2,25,1136,8,25,D,56.6406,11.115,56.621,11.1228,42G1,13,V,26,1,1,R,1.3,,,2235,136,,,-9,,59.7,-9,,-9,,,2.9,-9,,-9,,-9,253,12,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,45,23,2022,2,28,654,9,30,D,56.6729,12.5028,56.6528,12.5293,42G2,20,V,46,1,1,R,1.4,,,2763,136,,,-9,,59.8,-9,,-9,,,3,-9,,-9,,-9,171,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,21,11,2022,2,25,724,8,20,D,56.6846,10.9039,56.6994,10.9164,42G0,8,V,22,1,1,R,1.4,,,1816,136,,,-9,,58.5,-9,,-9,,,3,-9,,-9,,-9,225,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,44,22,2022,2,27,1346,9,30,D,56.7438,12.174,56.7343,12.2153,42G2,37,V,43,1,1,R,1.5,,,2732,168,,,-9,,63.8,-9,,-9,,,3,-9,,-9,,-9,188,4,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,23,12,2022,2,25,915,8,30,D,56.8164,11.0662,56.8064,11.1075,42G1,12,V,24,1,1,R,1.3,,,2748,136,,,-9,,60.8,-9,,-9,,,3,-9,,-9,,-9,240,10,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,38,19,2022,2,27,611,10,30,N,56.8434,11.7506,56.8675,11.765,42G1,50,V,37,1,1,R,1.3,,,2819,180,,,-9,,57,-9,,-9,,,3,-9,,-9,,-9,188,7,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,42,21,2022,2,27,1148,10,30,D,56.8745,12.0804,56.8554,12.0508,42G2,43,V,41,1,1,R,1.4,,,2789,168,,,-9,,61.1,-9,,-9,,,3,-9,,-9,,-9,209,7,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,19,10,2022,2,24,1323,8,30,D,56.8896,10.5499,56.8954,10.5929,42G0,8,V,20,1,1,R,1.3,,,2696,136,,,-9,,62.6,-9,,-9,,,2.9,-9,,-9,,-9,258,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,40,20,2022,2,27,923,10,30,D,57.0121,12.0502,57.016,12.0967,43G2,47,V,39,1,1,R,1.4,,,2848,180,,,-9,,63.5,-9,,-9,,,3,-9,,-9,,-9,187,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,22,11,2022,2,25,1125,12,15,D,55.5004,17.867,55.5231,17.8874,40G7,80,N,21,1,1,C,-9,,,2778,,,,4.4,520,-9,-9,213,-9,,,6.1,7.1,,-9,,-9,249,16,,-9,3.3,6.2,7.37,10.31,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,14,7,2022,2,24,1301,12,15,D,55.5169,18.5498,55.4916,18.5499,40G8,87,N,13,1,1,C,-9,,,2778,,,,4.4,520,-9,-9,213,-9,,,6,6.5,,-9,,-9,177,12,,-9,3.6,7.1,7.59,11.2,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,169,52,2022,3,7,857,11,14,D,55.5214,15.5604,55.5264,15.517,40G5,75,N,168,1,1,C,-9,,,2784,,,,4.4,520,-9,-9,213,-9,,,6,6.7,,-9,,-9,0,9,,-9,3.7,8.6,7.69,15.18,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,171,53,2022,3,7,1138,11,15,D,55.5239,15.1717,55.5333,15.2087,40G5,79,N,170,1,1,C,-9,,,2554,,,,4.4,520,-9,-9,213,-9,,,5.4,6.1,,-9,,-9,333,6,,-9,3.7,8.3,7.64,15.34,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,20,10,2022,2,25,816,12,29,D,55.5342,18.2341,55.5339,18.1898,40G8,82,N,19,1,1,C,-9,,,2778,,,,4.4,520,-9,-9,213,-9,,,3.4,3.4,,-9,,-9,238,16,,-9,3.4,6.7,7.47,11.01,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,182,54,2022,3,8,553,11,14,N,55.5781,15.0739,55.5765,15.0298,40G5,79,N,181,1,1,C,-9,,,2780,,,,4.4,520,-9,-9,213,-9,,,6.2,6.9,,-9,,-9,331,6,,-9,3.6,8.6,7.61,15.25,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,16,8,2022,2,24,1428,12,15,D,55.5873,18.3924,55.5734,18.3552,40G8,91,N,15,1,1,C,-9,,,2963,,,,4.4,520,-9,-9,213,-9,,,6,6.5,,-9,,-9,184,12,,-9,3.6,7.3,7.54,11.28,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,27,14,2022,2,26,617,10,30,N,55.6171,17.5977,55.6369,17.6243,40G7,40,V,26,1,1,R,5.9,,,2778,270,,,4.4,520,69.4,26.2,213,-9,,37,3,3.1,,-9,,-9,1,9,,-9,3.2,3.4,7.33,7.44,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,24,12,2022,2,25,1318,11,30,D,55.6584,18.0445,55.6825,18.0252,40G8,67,V,23,1,1,R,5.3,,,2963,390,,,4.4,520,84.9,29.7,213,-9,,322,3.2,3.1,,-9,,-9,238,16,,-9,3.3,6.2,7.42,10.37,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,25,13,2022,2,25,1449,11,30,D,55.6965,18.0174,55.6739,18.0369,40G8,65,V,23,1,1,R,5.1,,,2778,370,,,4.4,520,87,31.1,213,-9,,153,3,2.4,,-9,,-9,246,18,,-9,3.3,6.2,7.42,10.37,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22044,2,2022,2,24,540,9,30,D,54.1147,11.1487,54.129,11.1853,37G1,24,V,22044,1,1,R,1.8,,,2880,125,,,-9,,-9,-9,,-9,,68,3.1,-9,,-9,,-9,193,10,,-9,4.3,4.3,17.58,17.67,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22114,3,2022,2,24,750,9,30,D,54.1432,11.2935,54.163,11.3212,37G1,25,V,22114,1,1,R,1.8,,,2843,150,,,-9,,-9,-9,,-9,,45,3.1,-9,,-9,,-9,205,11,,-9,4.3,4.3,17.62,17.83,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,24335,21,2022,3,1,533,8,30,D,54.1872,14.314,54.2086,14.2922,37G4,15,V,24335,1,1,R,2.6,,,2784,75,,,-9,,-9,-9,,-9,,351,3,-9,,-9,,-9,191,11,,-9,3.8,3.9,8.57,8.67,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22002,1,2022,2,23,1303,8,30,D,54.1924,11.8527,54.1883,11.8953,37G1,18,V,22002,1,1,R,1.8,,,2824,100,,,-9,,-9,-9,,-9,,270,3,-9,,-9,,-9,247,11,,-9,4.6,4.3,17.28,17.34,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22143,12,2022,2,26,1218,9,30,D,54.2092,11.5422,54.2248,11.5762,37G1,27,V,22143,1,1,R,1.4,,,2816,150,,,-9,,-9,-9,,-9,,46,3,-9,,-9,,-9,45,1,,-9,4.5,4.3,17.21,17.7,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22141,4,2022,2,24,1006,9,30,D,54.2404,11.4218,54.2518,11.4608,37G1,23,V,22141,1,1,R,1.8,,,2847,125,,,-9,,-9,-9,,-9,,55,3.1,-9,,-9,,-9,200,8,,-9,4.3,4.2,16.97,17.3,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22051,13,2022,2,27,536,9,30,D,54.2447,11.7927,54.2452,11.75,37G1,26,V,22051,1,1,R,1.6,,,2782,150,,,-9,,-9,-9,,-9,,275,3,-9,,-9,,-9,130,8,,-9,4.3,4.4,17.09,17.61,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22142,11,2022,2,26,1005,9,30,D,54.2672,11.5085,54.2762,11.5495,37G1,25,V,22142,1,1,R,1.5,,,2855,150,,,-9,,-9,-9,,-9,,68,3.1,-9,,-9,,-9,311,2,,-9,4.4,4.3,16.8,17.92,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22008,15,2022,2,27,1021,9,30,D,54.2901,11.919,54.3157,11.9293,37G1,20,V,22008,1,1,R,1.6,,,2932,125,,,-9,,-9,-9,,-9,,22,3.2,-9,,-9,,-9,142,3,,-9,4.3,4.4,15.19,16.68,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22045,5,2022,2,24,1225,9,15,D,54.2918,11.3073,54.3024,11.32,37G1,22,V,22045,1,1,R,1.8,,,1437,126,,,-9,,-9,-9,,-9,,30,3.1,-9,,-9,,-9,191,9,,-9,4.6,4.3,18,18.03,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22146,14,2022,2,27,739,9,30,D,54.3004,11.6037,54.3254,11.5967,37G1,26,V,22146,1,1,R,1.6,,,2822,150,,,-9,,-9,-9,,-9,,357,3,-9,,-9,,-9,135,6,,-9,4.1,4.4,16.67,18.11,,,,,,,,,,,20220420
HH,BITS,1,DE,06SL,TVS,,,,22144,10,2022,2,26,806,9,30,D,54.3062,11.4463,54.3034,11.4888,37G1,24,V,22144,1,1,R,1.5,,,2786,150,,,-9,,-9,-9,,-9,,94,3,-9,,-9,,-9,352,3,,-9,4.3,4.3,17.2,17.68,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,141,46,2022,3,6,834,11,29,D,55.1021,15.2663,55.1254,15.285,39G5,66,V,140,1,1,R,5.2,,,2856,340,,,4.4,520,70.6,28.5,213,-9,,23,3,3.1,,-9,,-9,309,7,,-9,3.9,8.1,7.77,12.99,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,51,26,2022,2,28,1430,12,15,D,55.136,16.0583,55.147,16.0186,39G6,87,N,50,1,1,C,-9,,,2963,,,,4.4,520,-9,-9,213,-9,,,6.1,7,,-9,,-9,173,4,,-9,3.9,8.2,7.69,15.34,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,125,44,2022,3,5,1456,12,14,D,55.1555,16.0671,55.1751,16.0397,39G6,87,N,124,1,1,C,-9,,,2791,,,,4.4,520,-9,-9,213,-9,,,6.1,6.9,,-9,,-9,79,5,,-9,3.7,7.9,7.62,15.37,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,33,17,2022,2,26,1437,12,30,D,55.2393,17.3086,55.2368,17.2653,39G7,91,V,32,1,1,R,4,,,2778,460,,,4.4,520,83.8,29.2,213,-9,,263,2.9,2.9,,-9,,-9,31,6,,-9,3.5,8.5,7.43,11.85,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,35,18,2022,2,27,615,12,30,D,55.2577,17.4599,55.259,17.4166,39G7,90,V,34,1,1,R,4.5,,,2778,440,,,4.4,520,80,29,213,-9,,271,3,2.8,,-9,,-9,113,4,,-9,3.4,8.5,7.41,11.83,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,119,41,2022,3,5,745,12,14,D,55.2602,15.9767,55.2371,15.9599,39G5,90,N,118,1,1,C,-9,,,2789,,,,4.4,520,-9,-9,213,-9,,,6.2,7.3,,-9,,-9,62,6,,-9,3.6,7.6,7.6,15.46,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,117,40,2022,3,5,651,12,14,D,55.2832,15.9934,55.2749,16.0348,39G5,88,N,116,1,1,C,-9,,,2781,,,,4.4,520,-9,-9,213,-9,,,6.1,7.1,,-9,,-9,68,8,,-9,3.6,7.8,7.58,15.37,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,31,16,2022,2,26,1228,11,30,D,55.3095,17.3231,55.3198,17.3634,39G7,78,V,30,1,1,R,5.2,,,2778,430,,,4.4,520,74.8,28.2,213,-9,,65,3,3,,-9,,-9,15,9,,-9,3.4,6.2,7.39,10.11,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,139,45,2022,3,6,558,11,30,N,55.317,15.0456,55.2944,15.0674,39G5,72,V,138,1,1,R,5.1,,,2869,400,,,4.4,520,69.2,26.8,213,-9,,152,3,2.9,,-9,,-9,0,5,,-9,3.8,7.2,7.77,14.58,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,115,39,2022,3,5,601,12,15,N,55.3215,16.054,55.3042,16.0225,39G6,87,N,114,1,1,C,-9,,,2774,,,,4.4,520,-9,-9,213,-9,,,5.9,6.3,,-9,,-9,69,4,,-9,3.8,8.5,7.69,15.26,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,143,47,2022,3,6,1108,12,15,D,55.3289,15.3594,55.3508,15.3721,39G5,91,N,142,1,1,C,-9,,,2565,,,,4.4,520,-9,-9,213,-9,,,5.5,6,,-9,,-9,306,11,,-9,3.6,8.1,7.64,15.42,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,8,4,2022,2,24,634,12,30,D,55.3555,18.788,55.3338,18.7665,39G8,88,V,7,1,1,R,5.3,,,2778,460,,,4.4,520,78.8,30,213,-9,,207,3,3.1,,-9,,-9,190,17,,-9,3.7,7,7.65,11.08,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,29,15,2022,2,26,951,11,29,D,55.3681,16.9822,55.3495,16.9506,39G6,67,V,28,1,1,R,4.9,,,2778,370,,,4.4,520,74.9,28.2,213,-9,,224,3.1,2.9,,-9,,-9,18,9,,-9,3.3,3.7,7.36,7.61,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,145,48,2022,3,6,1219,12,15,D,55.3723,15.2575,55.3884,15.2854,39G5,88,N,144,1,1,C,-9,,,2519,,,,4.4,520,-9,-9,213,-9,,,5.3,6.1,,-9,,-9,321,9,,-9,3.6,8.1,7.63,15.5,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,2,1,2022,2,23,722,10,30,D,55.4028,16.8745,55.4028,16.9228,39G6,57,V,1,1,1,R,5.3,,,2963,330,,,4.4,520,77.7,28.1,213,-9,,94,3.3,3.2,,-9,,-9,294,20,,-9,3.7,3.7,7.61,7.62,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,10,5,2022,2,24,853,12,30,D,55.437,18.5888,55.4607,18.5684,39G8,85,V,9,1,1,R,5,,,2963,430,,,4.4,520,82,29.4,213,-9,,338,3.2,3,,-9,,-9,188,11,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,148,49,2022,3,6,1454,12,15,D,55.4575,15.9373,55.4812,15.9588,39G5,84,N,146,1,1,C,-9,,,2965,,,,4.4,520,-9,-9,213,-9,,,6.1,6.9,,-9,,-9,298,5,,-9,3.7,8.6,7.67,15.19,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,4,2,2022,2,23,1209,10,30,D,55.458,17.2521,55.4594,17.205,39G7,41,V,3,1,1,R,6,,,2963,270,,,4.4,520,74,27.4,213,-9,,269,3.2,2.7,,-9,,-9,342,11,,-9,3.5,3.5,7.51,7.51,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,184,55,2022,3,8,744,11,30,D,55.4594,14.7238,55.4549,14.6798,39G4,69,V,183,1,1,R,4.9,,,2821,400,,,4.4,520,115,27.6,213,-9,,258,3,2.8,,-9,,-9,271,2,,-9,3.6,4.8,7.65,14.51,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,167,51,2022,3,7,747,12,14,D,55.4609,15.5572,55.4844,15.5729,39G5,82,N,166,1,1,C,-9,,,2785,,,,4.4,520,-9,-9,213,-9,,,6.1,6.5,,-9,,-9,339,9,,-9,3.7,8,7.68,15.39,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,165,50,2022,3,7,555,12,14,N,55.4695,15.8978,55.4676,15.9419,39G5,85,N,164,1,1,C,-9,,,2793,,,,4.4,520,-9,-9,213,-9,,,6.4,7.3,,-9,,-9,343,9,,-9,3.7,8.5,7.68,15.24,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,12,6,2022,2,24,1126,12,15,D,55.4733,18.338,55.4733,18.2945,39G8,85,N,11,1,1,C,-9,,,2778,,,,4.4,520,-9,-9,213,-9,,,5.9,6.6,,-9,,-9,174,11,,-9,3.6,7.1,7.6,10.98,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,18,9,2022,2,25,636,12,26,D,55.474,18.3671,55.4738,18.3225,39G8,86,N,17,1,1,C,-9,,,2778,,,,4.4,520,-9,-9,213,-9,,,3.4,3.4,,-9,,-9,251,15,,-9,3.6,7.2,8.39,11.09,,,,,,,,,,,20220420
HH,BITS,1,DK,26D4,TVL,,S,T,6,3,2022,2,23,1421,9,30,D,55.4859,17.4482,55.4989,17.4836,39G7,36,V,5,1,1,R,5.9,,,2778,250,,,4.4,520,69,25.9,213,-9,,64,2.9,3.3,,-9,,-9,313,4,,-9,3.3,3.3,7.36,7.36,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,108,55,2022,3,8,1310,8,30,D,55.6304,10.5497,55.6503,10.5243,40G0,15,V,109,1,1,R,1.3,,,2722,136,,,-9,,56.7,-9,,-9,,,3,-9,,-9,,-9,252,2,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,142,72,2022,3,13,633,9,30,D,55.6826,10.7632,55.7068,10.7739,40G0,32,V,143,1,1,R,1.1,,,2772,150,,,-9,,61.3,-9,,-9,,,3.1,-9,,-9,,-9,140,10,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,110,56,2022,3,9,632,9,30,D,55.6995,10.3923,55.7039,10.4365,40G0,23,V,111,1,1,R,1.4,,,2813,150,,,-9,,57.4,-9,,-9,,,3,-9,,-9,,-9,108,6,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26140,55,2022,2,27,1243,14,0,D,56.0067,18.9,56.0067,18.9,41G8,122,N,93,1,1,C,-9,,,0,,16,12,4.3,520,-9,-9,213,-9,47,,-9,-9,,-9,,-9,,,,-9,3.5,7.8,7.56,11.76,Y,65,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26170,53,2022,2,27,802,11,15,D,56.165,18.3383,56.1733,18.3533,41G8,75,V,91,1,1,C,7,,,1312,175,16,12,4.3,520,-9,-9,213,-9,47,,2.6,-9,,-9,,-9,,,,-9,3.1,6.5,7.45,10.83,Y,56,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26031,64,2022,3,1,634,11,15,D,56.17,19.915,56.1817,19.9183,41G9,62,V,102,1,1,C,7,,,1319,140,16,12,4.3,520,-9,-9,213,-9,47,12,2.5,-9,,-9,,-9,,,,-9,3.7,3.8,7.59,7.71,,,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26142,69,2022,3,1,1435,13,10,D,56.1883,19.45,56.195,19.4567,41G9,103,V,107,1,1,C,7,,,854,225,16,12,4.3,520,-9,-9,213,-9,47,33,2.3,-9,,-9,,-9,,,,-9,3.6,7.6,7.62,11.52,Y,68,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26069,52,2022,2,27,635,11,10,D,56.2133,18.445,56.2067,18.4383,41G8,75,V,90,1,1,C,7,,,844,175,16,12,4.3,520,-9,-9,213,-9,47,209,2.8,-9,,-9,,-9,,,,-9,3.1,6,7.45,10.15,Y,53,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26071,68,2022,3,1,1252,13,10,D,56.245,19.52,56.2517,19.5233,41G9,112,V,106,1,1,C,7,,,774,200,16,12,4.3,520,-9,-9,213,-9,47,12,2.4,-9,,-9,,-9,,,,-9,3.6,7.6,7.62,11.55,Y,71,,,,,,,,,20220420
HH,BITS,1,PL,67BC,TVL,75,S,T,26073,65,2022,3,1,843,11,15,D,56.2567,19.6583,56.2683,19.6633,41G9,73,V,103,1,1,C,7,,,1328,150,16,12,4.3,520,-9,-9,213,-9,47,12,2.8,-9,,-9,,-9,,,,-9,3.5,4.1,7.63,7.98,,,,,,,,,,,20220420
